"Akilah Drinkard                                   ","organic                                           ",15
"Cliff Meints                                      ","twitter                                           ",12
"Cliff Meints                                      ","banner                                            ",6
"Cordell Rieder                                    ","banner                                            ",3
"Cordell Rieder                                    ","organic                                           ",10
"Cordell Rieder                                    ","twitter                                           ",2
"Cordell Rieder                                    ","adwords                                           ",7
"Cordell Rieder                                    ","direct                                            ",67
"Cordell Rieder                                    ","facebook                                          ",6
"Dawna Agnew                                       ","banner                                            ",12
"Dawna Agnew                                       ","facebook                                          ",20
"Dawna Agnew                                       ","organic                                           ",19
"Dawna Agnew                                       ","twitter                                           ",10
"Dawna Agnew                                       ","adwords                                           ",24
"Dawna Agnew                                       ","direct                                            ",91
"Debroah Wardle                                    ","banner                                            ",10
"Debroah Wardle                                    ","facebook                                          ",26
"Debroah Wardle                                    ","adwords                                           ",14
"Debroah Wardle                                    ","organic                                           ",14
"Debroah Wardle                                    ","twitter                                           ",11
"Debroah Wardle                                    ","direct                                            ",83
"Delilah Krum                                      ","banner                                            ",10
"Delilah Krum                                      ","facebook                                          ",29
"Delilah Krum                                      ","organic                                           ",32
"Delilah Krum                                      ","twitter                                           ",21
"Delilah Krum                                      ","direct                                            ",144
"Delilah Krum                                      ","adwords                                           ",24
"Derrick Boggess                                   ","direct                                            ",80
"Derrick Boggess                                   ","adwords                                           ",20
"Derrick Boggess                                   ","twitter                                           ",7
"Derrick Boggess                                   ","organic                                           ",10
"Derrick Boggess                                   ","facebook                                          ",15
"Derrick Boggess                                   ","banner                                            ",3
"Dorotha Seawell                                   ","adwords                                           ",25
"Dorotha Seawell                                   ","direct                                            ",161
"Dorotha Seawell                                   ","twitter                                           ",14
"Dorotha Seawell                                   ","facebook                                          ",32
"Dorotha Seawell                                   ","banner                                            ",16
"Dorotha Seawell                                   ","organic                                           ",36
"Earlie Schleusner                                 ","adwords                                           ",26
"Earlie Schleusner                                 ","organic                                           ",31
"Earlie Schleusner                                 ","twitter                                           ",12
"Earlie Schleusner                                 ","direct                                            ",234
"Earlie Schleusner                                 ","facebook                                          ",36
"Earlie Schleusner                                 ","banner                                            ",23
"Elba Felder                                       ","adwords                                           ",17
"Elba Felder                                       ","twitter                                           ",12
"Elba Felder                                       ","facebook                                          ",18
"Elba Felder                                       ","banner                                            ",3
"Elba Felder                                       ","direct                                            ",54
"Elba Felder                                       ","organic                                           ",19
"Elna Condello                                     ","banner                                            ",14
"Elna Condello                                     ","facebook                                          ",39
"Elna Condello                                     ","twitter                                           ",11
"Elna Condello                                     ","direct                                            ",146
"Elna Condello                                     ","adwords                                           ",26
"Elna Condello                                     ","organic                                           ",31
"Elwood Shutt                                      ","banner                                            ",9
"Elwood Shutt                                      ","facebook                                          ",17
"Elwood Shutt                                      ","twitter                                           ",12
"Elwood Shutt                                      ","organic                                           ",20
"Elwood Shutt                                      ","direct                                            ",141
"Elwood Shutt                                      ","adwords                                           ",23
"Ernestine Pickron                                 ","banner                                            ",7
"Ernestine Pickron                                 ","adwords                                           ",20
"Ernestine Pickron                                 ","facebook                                          ",14
"Ernestine Pickron                                 ","direct                                            ",65
"Ernestine Pickron                                 ","twitter                                           ",3
"Ernestine Pickron                                 ","organic                                           ",14
"Eugena Esser                                      ","banner                                            ",7
"Eugena Esser                                      ","organic                                           ",19
"Eugena Esser                                      ","facebook                                          ",18
"Eugena Esser                                      ","twitter                                           ",8
"Eugena Esser                                      ","direct                                            ",85
"Eugena Esser                                      ","adwords                                           ",15
"Georgianna Chisholm                               ","twitter                                           ",13
"Georgianna Chisholm                               ","organic                                           ",28
"Georgianna Chisholm                               ","direct                                            ",188
"Georgianna Chisholm                               ","adwords                                           ",24
"Georgianna Chisholm                               ","facebook                                          ",18
"Georgianna Chisholm                               ","banner                                            ",11
"Gianna Dossey                                     ","organic                                           ",19
"Gianna Dossey                                     ","direct                                            ",140
"Gianna Dossey                                     ","facebook                                          ",25
"Gianna Dossey                                     ","banner                                            ",10
"Gianna Dossey                                     ","twitter                                           ",12
"Gianna Dossey                                     ","adwords                                           ",26
"Hilma Busick                                      ","direct                                            ",137
"Hilma Busick                                      ","banner                                            ",12
"Hilma Busick                                      ","adwords                                           ",21
"Hilma Busick                                      ","facebook                                          ",22
"Hilma Busick                                      ","twitter                                           ",12
"Hilma Busick                                      ","organic                                           ",29
"Julia Behrman                                     ","organic                                           ",22
"Julia Behrman                                     ","twitter                                           ",13
"Julia Behrman                                     ","adwords                                           ",19
"Julia Behrman                                     ","direct                                            ",102
"Julia Behrman                                     ","banner                                            ",9
"Julia Behrman                                     ","facebook                                          ",9
"Julie Starr                                       ","organic                                           ",2
"Julie Starr                                       ","direct                                            ",28
"Julie Starr                                       ","banner                                            ",5
"Julie Starr                                       ","facebook                                          ",3
"Julie Starr                                       ","adwords                                           ",3
"Kathleen Lalonde                                  ","facebook                                          ",9
"Kathleen Lalonde                                  ","banner                                            ",1
"Kathleen Lalonde                                  ","direct                                            ",24
"Kathleen Lalonde                                  ","twitter                                           ",2
"Kathleen Lalonde                                  ","adwords                                           ",2
"Kathleen Lalonde                                  ","organic                                           ",9
"Lavera Oles                                       ","adwords                                           ",11
"Lavera Oles                                       ","direct                                            ",52
"Lavera Oles                                       ","facebook                                          ",12
"Lavera Oles                                       ","banner                                            ",6
"Lavera Oles                                       ","twitter                                           ",4
"Lavera Oles                                       ","organic                                           ",13
"Maren Musto                                       ","organic                                           ",49
"Maren Musto                                       ","twitter                                           ",21
"Maren Musto                                       ","adwords                                           ",35
"Maren Musto                                       ","direct                                            ",184
"Maren Musto                                       ","banner                                            ",17
"Maren Musto                                       ","facebook                                          ",44
"Marquetta Laycock                                 ","organic                                           ",15
"Marquetta Laycock                                 ","twitter                                           ",7
"Marquetta Laycock                                 ","direct                                            ",66
"Marquetta Laycock                                 ","banner                                            ",4
"Marquetta Laycock                                 ","adwords                                           ",13
"Marquetta Laycock                                 ","facebook                                          ",11
"Maryanna Fiorentino                               ","facebook                                          ",41
"Maryanna Fiorentino                               ","banner                                            ",15
"Maryanna Fiorentino                               ","direct                                            ",168
"Maryanna Fiorentino                               ","adwords                                           ",53
"Maryanna Fiorentino                               ","organic                                           ",37
"Maryanna Fiorentino                               ","twitter                                           ",16
"Micha Woodford                                    ","adwords                                           ",22
"Micha Woodford                                    ","twitter                                           ",18
"Micha Woodford                                    ","direct                                            ",145
"Micha Woodford                                    ","banner                                            ",23
"Micha Woodford                                    ","facebook                                          ",33
"Micha Woodford                                    ","organic                                           ",24
"Michel Averette                                   ","direct                                            ",145
"Michel Averette                                   ","twitter                                           ",10
"Michel Averette                                   ","adwords                                           ",24
"Michel Averette                                   ","organic                                           ",25
"Michel Averette                                   ","facebook                                          ",30
"Michel Averette                                   ","banner                                            ",16
"Moon Torian                                       ","banner                                            ",18
"Moon Torian                                       ","facebook                                          ",38
"Moon Torian                                       ","direct                                            ",194
"Moon Torian                                       ","twitter                                           ",18
"Moon Torian                                       ","organic                                           ",34
"Moon Torian                                       ","adwords                                           ",31
"Nakesha Renn                                      ","facebook                                          ",1
"Nakesha Renn                                      ","banner                                            ",2
"Nakesha Renn                                      ","direct                                            ",10
"Nakesha Renn                                      ","twitter                                           ",1
"Nakesha Renn                                      ","organic                                           ",1
"Necole Victory                                    ","organic                                           ",6
"Necole Victory                                    ","direct                                            ",109
"Necole Victory                                    ","banner                                            ",8
"Necole Victory                                    ","facebook                                          ",17
"Necole Victory                                    ","adwords                                           ",22
"Necole Victory                                    ","twitter                                           ",5
"Nelle Meaux                                       ","twitter                                           ",11
"Nelle Meaux                                       ","adwords                                           ",30
"Nelle Meaux                                       ","organic                                           ",28
"Nelle Meaux                                       ","direct                                            ",179
"Nelle Meaux                                       ","facebook                                          ",22
"Nelle Meaux                                       ","banner                                            ",18
"Renetta Carew                                     ","banner                                            ",6
"Renetta Carew                                     ","facebook                                          ",14
"Renetta Carew                                     ","twitter                                           ",7
"Renetta Carew                                     ","direct                                            ",58
"Renetta Carew                                     ","adwords                                           ",10
"Renetta Carew                                     ","organic                                           ",11
"Retha Sears                                       ","adwords                                           ",8
"Retha Sears                                       ","organic                                           ",13
"Retha Sears                                       ","twitter                                           ",3
"Retha Sears                                       ","direct                                            ",49
"Retha Sears                                       ","facebook                                          ",4
"Retha Sears                                       ","banner                                            ",2
"Samuel Racine                                     ","facebook                                          ",11
"Samuel Racine                                     ","banner                                            ",7
"Samuel Racine                                     ","organic                                           ",10
"Samuel Racine                                     ","twitter                                           ",2
"Samuel Racine                                     ","adwords                                           ",11
"Samuel Racine                                     ","direct                                            ",99
"Saran Ram                                         ","facebook                                          ",25
"Saran Ram                                         ","adwords                                           ",26
"Saran Ram                                         ","direct                                            ",86
"Saran Ram                                         ","banner                                            ",18
"Saran Ram                                         ","organic                                           ",24
"Saran Ram                                         ","twitter                                           ",17
"Shawanda Selke                                    ","facebook                                          ",1
"Shawanda Selke                                    ","direct                                            ",64
"Shawanda Selke                                    ","adwords                                           ",2
"Shawanda Selke                                    ","organic                                           ",1
"Shawanda Selke                                    ","banner                                            ",1
"Sherlene Wetherington                             ","organic                                           ",9
"Sherlene Wetherington                             ","twitter                                           ",10
"Sherlene Wetherington                             ","banner                                            ",8
"Sherlene Wetherington                             ","facebook                                          ",6
"Sherlene Wetherington                             ","adwords                                           ",12
"Sherlene Wetherington                             ","direct                                            ",50
"Sibyl Lauria                                      ","banner                                            ",7
"Sibyl Lauria                                      ","facebook                                          ",26
"Sibyl Lauria                                      ","direct                                            ",145
"Sibyl Lauria                                      ","adwords                                           ",23
"Sibyl Lauria                                      ","twitter                                           ",19
"Sibyl Lauria                                      ","organic                                           ",20
"Silvana Virden                                    ","twitter                                           ",2
"Silvana Virden                                    ","adwords                                           ",2
"Silvana Virden                                    ","direct                                            ",42
"Silvana Virden                                    ","banner                                            ",2
"Soraya Fulton                                     ","banner                                            ",5
"Soraya Fulton                                     ","facebook                                          ",10
"Soraya Fulton                                     ","twitter                                           ",9
"Soraya Fulton                                     ","adwords                                           ",8
"Soraya Fulton                                     ","organic                                           ",10
"Soraya Fulton                                     ","direct                                            ",46
"Tia Amato                                         ","facebook                                          ",43
"Tia Amato                                         ","banner                                            ",17
"Tia Amato                                         ","twitter                                           ",19
"Tia Amato                                         ","organic                                           ",34
"Tia Amato                                         ","adwords                                           ",27
"Tia Amato                                         ","direct                                            ",185
"Vernita Plump                                     ","organic                                           ",40
"Vernita Plump                                     ","adwords                                           ",43
"Vernita Plump                                     ","twitter                                           ",16
"Vernita Plump                                     ","facebook                                          ",36
"Vernita Plump                                     ","direct                                            ",232
"Vernita Plump                                     ","banner                                            ",15
